97.0327, 0.4020, 0.0061, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0015, 11.85, 0.082, 0.9352, -0.30, 26.123, 2026, 3, 25, 8, 54, 5, 1.274, 1.22, 97.4408, 47, 2382, 2771, 2450, 0, 22373, 30, 0.142, 0.002, 257.631
188.2961, 5.6061, 0.3858, 0.0152, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0028, 6.2495, 0.0007, 11.85, 0.082, 0.9352, -0.29, 26.125, 2026, 3, 25, 8, 54, 6, 1.283, 1.64, 200.5554, 46, 2382, 2771, 2450, 0, 22374, 30, 0.142, 0.001, 285.357
NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0000, 11.87, 0.082, 0.9352, -0.29, 26.127, 2026, 3, 25, 8, 54, 7, 1.283, 0.00, NaN, 47, 2382, 2771, 2450, 0, 22374, 30, 0.142, 0.000, Infinity
NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0000, 11.81, 0.082, 0.9360, -0.29, 26.127, 2026, 3, 25, 8, 54, 9, 1.273, 0.00, NaN, 47, 2382, 2771, 2450, 0, 22375, 30, 0.142, 0.000, Infinity
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0007, 11.83, 0.082, 0.9352, -0.30, 26.128, 2026, 3, 25, 8, 54, 10, 1.279, 0.00, 0.0000, 47, 2381, 2771, 2450, 0, 22373, 30, 0.142, -0.001, NaN
0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.0007, 11.86, 0.082, 0.9352, -0.31, 26.128, 2026, 3, 25, 8, 54, 11, 1.286, 0.00, 0.0000, 47, 2382, 2771, 2450, 0, 22372, 30, 0.142, -0.001, NaN
64.7289, 0.2798, 0.0043, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0022, 11.86, 0.082, 0.9352, -0.29, 26.129, 2026, 3, 25, 8, 54, 13, 1.276, 1.22, 65.0129, 47, 2382, 2771, 2450, 0, 22375, 30, 0.142, 0.002, 241.413
65.0138, 0.2794, 0.0043, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0022, 11.83, 0.082, 0.9352, -0.29, 26.128, 2026, 3, 25, 8, 54, 14, 1.278, 1.22, 65.2975, 47, 2382, 2771, 2450, 0, 22374, 30, 0.142, 0.002, 241.413
NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0000, 11.84, 0.082, 0.9352, -0.29, 26.128, 2026, 3, 25, 8, 54, 15, 1.287, 0.00, NaN, 47, 2382, 2771, 2450, 0, 22374, 30, 0.142, 0.000, Infinity
194.7691, 0.7988, 0.0123, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0007, 11.88, 0.082, 0.9352, -0.28, 26.128, 2026, 3, 25, 8, 54, 17, 1.277, 1.22, 195.5802, 47, 2382, 2771, 2450, 0, 22376, 30, 0.142, 0.001, 285.357
